ID	Gene Ontology Molecular Function
92531_at	0008565 // protein transporter activity // inferred from electronic annotation
92532_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0005000 // vasopressin receptor activity // inferred from electronic annotation /// 0017046 // peptide hormone binding // inferred from electronic annotation /// 0031894 // V1A vasopressin receptor binding // inferred from electronic annotation
92533_at	0005102 // receptor binding // inferred from direct assay /// 0005102 // receptor binding // traceable author statement /// 0005179 // hormone activity // inferred from electronic annotation /// 0031716 // calcitonin receptor binding // inferred from direct assay
92534_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
92535_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // not recorded /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92536_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004935 // adrenoceptor activity // inferred from electronic annotation /// 0004939 // beta-adrenergic receptor activity // inferred from electronic annotation /// 0004939 // beta-adrenergic receptor activity // inferred from sequence or structural similarity /// 0015052 // beta3-adrenergic receptor activity // inferred from electronic annotation /// 0015052 // beta3-adrenergic receptor activity // inferred from sequence or structural similarity /// 0031699 // beta-3 adrenergic receptor binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from sequence or structural similarity /// 0051380 // norepinephrine binding // inferred from electronic annotation /// 0051380 // norepinephrine binding // inferred from sequence or structural similarity
92537_g_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004935 // adrenoceptor activity // inferred from electronic annotation /// 0004939 // beta-adrenergic receptor activity // inferred from electronic annotation /// 0004939 // beta-adrenergic receptor activity // inferred from sequence or structural similarity /// 0015052 // beta3-adrenergic receptor activity // inferred from electronic annotation /// 0015052 // beta3-adrenergic receptor activity // inferred from sequence or structural similarity /// 0031699 // beta-3 adrenergic receptor binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from sequence or structural similarity /// 0051380 // norepinephrine binding // inferred from electronic annotation /// 0051380 // norepinephrine binding // inferred from sequence or structural similarity
92538_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0004935 // adrenoceptor activity // inferred from electronic annotation /// 0004939 // beta-adrenergic receptor activity // inferred from electronic annotation /// 0004939 // beta-adrenergic receptor activity // inferred from sequence or structural similarity /// 0015052 // beta3-adrenergic receptor activity // inferred from electronic annotation /// 0015052 // beta3-adrenergic receptor activity // inferred from sequence or structural similarity /// 0031699 // beta-3 adrenergic receptor binding // inferred from direct assay /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from sequence or structural similarity /// 0051380 // norepinephrine binding // inferred from electronic annotation /// 0051380 // norepinephrine binding // inferred from sequence or structural similarity
92539_at	0005509 // calcium ion binding // inferred from electronic annotation
92540_f_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004766 // spermidine synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
92541_at	0003774 // motor activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation
92542_at	
92543_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
92544_f_at	0004175 // endopeptidase activity // inferred from electronic annotation /// 0004298 // threonine-type endopeptidase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
92545_f_at	0004667 // prostaglandin-D synthase activity // inferred from electronic annotation /// 0004667 // prostaglandin-D synthase activity // inferred from sequence or structural similarity /// 0005215 // transporter activity // inferred from electronic annotation /// 0005215 // transporter activity // inferred from sequence or structural similarity /// 0005488 // binding // inferred from electronic annotation /// 0005501 // retinoid binding // inferred from sequence or structural similarity /// 0016853 // isomerase activity // inferred from electronic annotation
92546_r_at	0004667 // prostaglandin-D synthase activity // inferred from electronic annotation /// 0004667 // prostaglandin-D synthase activity // inferred from sequence or structural similarity /// 0005215 // transporter activity // inferred from electronic annotation /// 0005215 // transporter activity // inferred from sequence or structural similarity /// 0005488 // binding // inferred from electronic annotation /// 0005501 // retinoid binding // inferred from sequence or structural similarity /// 0016853 // isomerase activity // inferred from electronic annotation
92547_at	0004842 // ubiquitin-protein ligase activity // traceable author statement /// 0004842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0019787 // small conjugating protein ligase activity // inferred from electronic annotation
92548_g_at	0004842 // ubiquitin-protein ligase activity // traceable author statement /// 0004842 // ubiquitin-protein ligase activity // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0019787 // small conjugating protein ligase activity // inferred from electronic annotation
92549_at	0004860 // protein kinase inhibitor activity // inferred from electronic annotation /// 0004862 // cAMP-dependent protein kinase inhibitor activity // inferred from direct assay /// 0004862 // cAMP-dependent protein kinase inhibitor activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation
92550_at	0005198 // structural molecule activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008307 // structural constituent of muscle // inferred from electronic annotation
92551_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003910 // DNA ligase (ATP) activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation
92553_at	"0004091 // carboxylesterase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016788 // hydrolase activity, acting on ester bonds // inferred from direct assay /// 0018738 // S-formylglutathione hydrolase activity // inferred from electronic annotation"
92554_at	"0003714 // transcription corepressor activity // inferred from direct assay /// 0003714 // transcription corepressor activity // inferred from physical interaction /// 0003824 // catalytic activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016616 // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // inferred from electronic annotation /// 0048037 // cofactor binding // inferred from electronic annotation /// 0051287 // NAD binding // inferred from electronic annotation"
92555_at	0004871 // signal transducer activity // inferred from electronic annotation
92556_at	0004033 // aldo-keto reductase activity // inferred from direct assay /// 0004303 // estradiol 17-beta-dehydrogenase activity // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation
92557_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004303 // estradiol 17-beta-dehydrogenase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation
92558_at	0005515 // protein binding // inferred from electronic annotation
92559_at	0005515 // protein binding // inferred from electronic annotation
92560_g_at	0005515 // protein binding // inferred from electronic annotation
92561_at	0000287 // magnesium ion binding // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017110 // nucleoside-diphosphatase activity // inferred from electronic annotation
92562_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016563 // transcription activator activity // inferred from direct assay /// 0030528 // transcription regulator activity // inferred from genetic interaction /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046983 // protein dimerization activity // inferred from electronic annotation
92563_at	0003677 // DNA binding // inferred from electronic annotation
92564_at	0003677 // DNA binding // inferred from electronic annotation
92565_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008022 // protein C-terminus binding // inferred from physical interaction /// 0050733 // RS domain binding // inferred from physical interaction
92566_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from direct assay /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from direct assay /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // not recorded /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
92567_at	0005201 // extracellular matrix structural constituent // inferred from electronic annotation /// 0046332 // SMAD binding // inferred from physical interaction
92568_at	"0000179 // rRNA (adenine-N6,N6-)-dimethyltransferase activity // inferred from electronic annotation /// 0003712 // transcription cofactor activity // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0008649 // rRNA methyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0043790 // dimethyladenosine transferase activity // inferred from electronic annotation"
92569_f_at	0030519 // snoRNP binding // not recorded
92570_at	0008289 // lipid binding // inferred from electronic annotation /// 0015078 // hydrogen ion transmembrane transporter activity // inferred from electronic annotation
92571_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation
92572_at	0005249 // voltage-gated potassium channel activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity
92573_at	0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
92574_at	0000104 // succinate dehydrogenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92575_at	0003712 // transcription cofactor activity // inferred from physical interaction /// 0004872 // receptor activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0051082 // unfolded protein binding // inferred from electronic annotation /// 0051082 // unfolded protein binding // inferred from sequence or structural similarity
92577_f_at	0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0019843 // rRNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92578_at	0000049 // tRNA binding // inferred from electronic annotation /// 0000049 // tRNA binding // inferred from sequence or structural similarity /// 0003723 // RNA binding // inferred from electronic annotation /// 0005125 // cytokine activity // inferred from direct assay /// 0005125 // cytokine activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from sequence or structural similarity /// 0043498 // cell surface binding // inferred from electronic annotation /// 0043498 // cell surface binding // inferred from sequence or structural similarity
92579_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from direct assay /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
92580_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004812 // aminoacyl-tRNA ligase activity // inferred from electronic annotation /// 0004821 // histidine-tRNA ligase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation
92581_at	"0003995 // acyl-CoA dehydrogenase activity // inferred from electronic annotation /// 0003995 // acyl-CoA dehydrogenase activity // inferred from sequence or structural similarity /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016627 // oxidoreductase activity, acting on the CH-CH group of donors // inferred from electronic annotation /// 0050660 // FAD binding // inferred from electronic annotation"
92582_at	0005515 // protein binding // inferred from electronic annotation /// 0015171 // amino acid transmembrane transporter activity // inferred from electronic annotation /// 0015175 // neutral amino acid transmembrane transporter activity // inferred from direct assay /// 0015293 // symporter activity // inferred from electronic annotation /// 0017153 // sodium:dicarboxylate symporter activity // inferred from electronic annotation
92583_at	0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation
92584_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
92585_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004708 // MAP kinase kinase activity // inferred from mutant phenotype /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0004728 // receptor signaling protein tyrosine phosphatase activity // inferred from mutant phenotype /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
92586_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004352 // glutamate dehydrogenase activity // inferred from electronic annotation /// 0004353 // glutamate dehydrogenase [NAD(P)+] activity // inferred from direct assay /// 0004353 // glutamate dehydrogenase [NAD(P)+] activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation
92587_at	"0005506 // iron ion binding // inferred from electronic annotation /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation"
92589_at	0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004647 // phosphoserine phosphatase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016791 // phosphatase activity // inferred from electronic annotation
92590_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004421 // hydroxymethylglutaryl-CoA synthase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
92592_at	"0003824 // catalytic activity // inferred from electronic annotation /// 0004367 // glycerol-3-phosphate dehydrogenase (NAD+) activity // inferred from electronic annotation /// 0004368 // glycerol-3-phosphate dehydrogenase activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016614 // oxidoreductase activity, acting on CH-OH group of donors // inferred from electronic annotation /// 0016616 // oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0050662 // coenzyme binding // inferred from electronic annotation /// 0051287 // NAD binding // inferred from electronic annotation"
92593_at	0005515 // protein binding // inferred from electronic annotation /// 0008201 // heparin binding // inferred from direct assay /// 0008201 // heparin binding // inferred from electronic annotation
92594_at	0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008565 // protein transporter activity // inferred from electronic annotation
92595_r_at	"0004325 // ferrochelatase activity // inferred from direct assay /// 0004325 // ferrochelatase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051537 // 2 iron, 2 sulfur cluster binding // inferred from electronic annotation"
92596_at	
92597_s_at	"0015078 // hydrogen ion transmembrane transporter activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016820 // hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances // inferred from electronic annotation /// 0046933 // hydrogen ion transporting ATP synthase activity, rotational mechanism // inferred from electronic annotation /// 0046961 // proton-transporting ATPase activity, rotational mechanism // inferred from electronic annotation"
92598_at	"0015078 // hydrogen ion transmembrane transporter activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016820 // hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances // inferred from electronic annotation /// 0046933 // hydrogen ion transporting ATP synthase activity, rotational mechanism // inferred from electronic annotation /// 0046961 // proton-transporting ATPase activity, rotational mechanism // inferred from electronic annotation"
92599_at	"0003824 // catalytic activity // inferred from electronic annotation /// 0004082 // bisphosphoglycerate mutase activity // inferred from electronic annotation /// 0004083 // bisphosphoglycerate 2-phosphatase activity // inferred from electronic annotation /// 0004619 // phosphoglycerate mutase activity // inferred from direct assay /// 0004619 // phosphoglycerate mutase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016853 // isomerase activity // inferred from electronic annotation /// 0016868 // intramolecular transferase activity, phosphotransferases // inferred from electronic annotation"
92600_f_at	0004497 // monooxygenase activity // traceable author statement /// 0004497 // monooxygenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0018685 // alkane 1-monooxygenase activity // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92601_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004806 // triacylglycerol lipase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
92602_at	0005515 // protein binding // not recorded /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity
92603_at	"0008553 // hydrogen-exporting ATPase activity, phosphorylative mechanism // inferred from direct assay /// 0015078 // hydrogen ion transmembrane transporter activity // inferred from electronic annotation"
92605_at	0005509 // calcium ion binding // inferred from electronic annotation
92606_at	0004846 // urate oxidase activity // traceable author statement /// 0004846 // urate oxidase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation
92607_at	0003824 // catalytic activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
92608_at	0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92610_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
92611_at	
92612_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004467 // long-chain-fatty-acid-CoA ligase activity // traceable author statement /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0047747 // cholate-CoA ligase activity // inferred from electronic annotation
92614_at	0005515 // protein binding // inferred from physical interaction /// 0008134 // transcription factor binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from direct assay /// 0030528 // transcription regulator activity // inferred from electronic annotation
92615_at	
92616_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008641 // small protein activating enzyme activity // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation
92617_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008641 // small protein activating enzyme activity // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation
92618_at	
92619_at	0005515 // protein binding // inferred from physical interaction /// 0050699 // WW domain binding // inferred from physical interaction
92621_at	0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
92622_at	0005215 // transporter activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
92623_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0004601 // peroxidase activity // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation
92624_r_at	"0005200 // structural constituent of cytoskeleton // inferred from direct assay /// 0030280 // structural constituent of epidermis // inferred from direct assay /// 0030674 // protein binding, bridging // inferred from electronic annotation"
92625_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0004550 // nucleoside diphosphate kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92626_at	0000287 // magnesium ion binding // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017110 // nucleoside-diphosphatase activity // inferred from direct assay /// 0017111 // nucleoside-triphosphatase activity // inferred from direct assay
92628_at	0003735 // structural constituent of ribosome // inferred from electronic annotation
92629_f_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008083 // growth factor activity // not recorded /// 0008083 // growth factor activity // inferred from electronic annotation /// 0008201 // heparin binding // inferred from electronic annotation
92630_r_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0008083 // growth factor activity // not recorded /// 0008083 // growth factor activity // inferred from electronic annotation /// 0008201 // heparin binding // inferred from electronic annotation
92631_f_at	0005509 // calcium ion binding // traceable author statement /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from electronic annotation /// 0031997 // N-terminal myristoylation domain binding // inferred from electronic annotation
92632_at	0005509 // calcium ion binding // traceable author statement /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019904 // protein domain specific binding // inferred from electronic annotation /// 0031997 // N-terminal myristoylation domain binding // inferred from electronic annotation
92633_at	0004197 // cysteine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008234 // cysteine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
92634_at	0004177 // aminopeptidase activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from electronic annotation
92635_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // inferred from electronic annotation /// 0005198 // structural molecule activity // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
92636_f_at	0015450 // P-P-bond-hydrolysis-driven protein transmembrane transporter activity // inferred from electronic annotation
92637_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0003872 // 6-phosphofructokinase activity // inferred from direct assay /// 0003872 // 6-phosphofructokinase activity // inferred from electronic annotation /// 0003872 // 6-phosphofructokinase activity // inferred from sequence or structural similarity /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92638_at	0004721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 0004722 // protein serine/threonine phosphatase activity // traceable author statement /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from sequence or structural similarity
92639_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0031625 // ubiquitin protein ligase binding // inferred from physical interaction
92640_at	0005515 // protein binding // inferred from electronic annotation
92642_at	0004089 // carbonate dehydratase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
92643_at	0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008092 // cytoskeletal protein binding // inferred from electronic annotation
92644_s_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0003700 // transcription factor activity // inferred from mutant phenotype /// 0005515 // protein binding // inferred from physical interaction /// 0030528 // transcription regulator activity // inferred from electronic annotation
92645_at	0005488 // binding // inferred from electronic annotation /// 0030234 // enzyme regulator activity // inferred from electronic annotation
92646_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from sequence or structural similarity
92647_at	0005515 // protein binding // inferred from physical interaction /// 0008094 // DNA-dependent ATPase activity // inferred from sequence or structural similarity
92648_at	0005515 // protein binding // inferred from physical interaction /// 0019905 // syntaxin binding // inferred from direct assay
92649_at	
92650_at	"0004571 // mannosyl-oligosaccharide 1,2-alpha-mannosidase activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation"
92652_at	0004872 // receptor activity // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0050785 // advanced glycation end-product receptor activity // inferred from electronic annotation
92653_at	
