ID	Gene Symbol	Gene Title
161325_at	Upp1	uridine phosphorylase 1
161326_f_at	Serpina6	"serine (or cysteine) peptidase inhibitor, clade A, member 6"
161327_f_at	EG628769 /// LOC546651 /// LOC625861 /// Rpl10a	"ribosomal protein L10A /// similar to ribosomal protein L10a /// predicted gene, EG628769"
161328_i_at	Urod	uroporphyrinogen decarboxylase
161329_f_at	Capzb	"capping protein (actin filament) muscle Z-line, beta"
161330_r_at	Aprt	adenine phosphoribosyl transferase
161331_r_at		
161332_f_at	Cdca5	cell division cycle associated 5
161333_f_at	D1Ertd161e	"DNA segment, Chr 1, ERATO Doi 161, expressed"
161334_r_at	Zfp277	zinc finger protein 277
161335_r_at	Snrpb	small nuclear ribonucleoprotein B
161336_r_at	Ndst2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2
161337_f_at	Wars	tryptophanyl-tRNA synthetase
161338_i_at	Uqcr	ubiquinol-cytochrome c reductase (6.4kD) subunit
161339_f_at	Sars2	seryl-aminoacyl-tRNA synthetase 2
161340_r_at	Pitx2	paired-like homeodomain transcription factor 2
161341_f_at	Gabpb1	"GA repeat binding protein, beta 1"
161342_r_at	Eif4b	eukaryotic translation initiation factor 4B
161343_r_at		
161344_r_at	Etf1	eukaryotic translation termination factor 1
161345_f_at	Cyp7b1	"Cytochrome P450, family 7, subfamily b, polypeptide 1"
161346_f_at	Klk8	kallikrein related-peptidase 8
161347_r_at	Rpo1-1	RNA polymerase 1-1
161348_r_at	LOC545743 /// Pdlim1	PDZ and LIM domain 1 (elfin) /// similar to PDZ and LIM domain protein 1 (Elfin) (LIM domain protein CLP-36) (C-terminal LIM domain protein 1)
161349_f_at	Dpm2	Dolichol-phosphate (beta-D) mannosyltransferase 2
161350_f_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2
161351_r_at		
161352_r_at		
161353_r_at	1110007M04Rik	RIKEN cDNA 1110007M04 gene
161354_f_at	6330403K07Rik	RIKEN cDNA 6330403K07 gene
161355_f_at	Slc35e1	"solute carrier family 35, member E1"
161356_at		
161357_r_at	EG626327 /// Gstm2 /// LOC670888	"glutathione S-transferase, mu 2 /// predicted gene, EG626327 /// similar to Glutathione S-transferase Mu 2 (GST class-mu 2) (Glutathione S-transferase pmGT2) (GST 5-5)"
161358_r_at	Dpep3	dipeptidase 3
161359_s_at	Apoa1bp	apolipoprotein A-I binding protein
161360_at	Oaz1	ornithine decarboxylase antizyme
161361_s_at	Tnnt1	"troponin T1, skeletal, slow"
161362_at		
161363_r_at		
161364_f_at	Faf1	Fas-associated factor 1
161365_r_at		
161366_r_at	Cdh15 /// LOC672914	cadherin 15 /// similar to Muscle-cadherin precursor (M-cadherin) (Cadherin-15) (Cadherin-14)
161367_f_at	Hps1	Hermansky-Pudlak syndrome 1 homolog (human)
161368_r_at	Cyp1b1	"cytochrome P450, family 1, subfamily b, polypeptide 1"
161369_r_at		
161370_f_at	Sdc1	syndecan 1
161371_r_at	Ptprk	"protein tyrosine phosphatase, receptor type, K"
161372_f_at	Hnrpdl	heterogeneous nuclear ribonucleoprotein D-like
161373_r_at	Fmod	fibromodulin
161374_f_at	Oxnad1	oxidoreductase NAD-binding domain containing 1
161375_at		
161376_f_at		
161377_at	Emr1	"EGF-like module containing, mucin-like, hormone receptor-like sequence 1"
161378_r_at	Runx2	runt related transcription factor 2
161379_at	Rpo1-4	RNA polymerase 1-4
161380_f_at	Rab31	"RAB31, member RAS oncogene family"
161381_r_at	Ncoa4	nuclear receptor coactivator 4
161382_at	Tgfb3	"transforming growth factor, beta 3"
161383_r_at	Tead1	TEA domain family member 1
161384_r_at		Transcribed locus
161385_r_at	Tph1	tryptophan hydroxylase 1
161386_f_at	Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1
161387_i_at	Sltm	"SAFB-like, transcription modulator"
161388_f_at	Tenr	testis nuclear RNA binding protein
161389_f_at	Asnsd1	asparagine synthetase domain containing 1
161390_r_at	Pou6f1	"POU domain, class 6, transcription factor 1"
161391_r_at	Aldh18a1	"aldehyde dehydrogenase 18 family, member A1"
161392_f_at	Lrrc23	leucine rich repeat containing 23
161393_at		
161394_f_at	Hist1h2bp	"histone cluster 1, H2bp"
161395_i_at		
161396_f_at	Ube2o	ubiquitin-conjugating enzyme E2O
161397_r_at	Dhodh	dihydroorotate dehydrogenase
161398_at	Dnahc8	"dynein, axonemal, heavy chain 8"
161399_r_at	Gpld1	glycosylphosphatidylinositol specific phospholipase D1
161400_f_at	Rpn1	ribophorin I
161401_f_at	Aldh3a2	"aldehyde dehydrogenase family 3, subfamily A2"
161402_r_at	Tbcel	tubulin folding cofactor E-like
161403_r_at	Acrv1	acrosomal vesicle protein 1
161404_at	Bhmt /// LOC673844	betaine-homocysteine methyltransferase /// similar to Betaine--homocysteine S-methyltransferase
161405_r_at	2610019F03Rik	RIKEN cDNA 2610019F03 gene
161406_at		Transcribed locus
161407_i_at	Inpp1	inositol polyphosphate-1-phosphatase
161408_r_at		
161409_f_at	Dntt	"deoxynucleotidyltransferase, terminal"
161410_r_at		
161411_i_at		
161412_r_at		
161413_f_at	Metap1	methionyl aminopeptidase 1
161414_f_at	Smarcd2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
161415_r_at	Pvrl3	poliovirus receptor-related 3
161416_r_at	Trove2	"TROVE domain family, member 2"
161417_r_at	Mycn	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"
161418_r_at	Nr5a1	"nuclear receptor subfamily 5, group A, member 1"
161419_r_at	Rps6ka1	ribosomal protein S6 kinase polypeptide 1
161420_r_at	Dpagt1	Dolichyl-phosphate (UDP-N-acetylglucosamine) acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
161421_r_at	Grwd1	glutamate-rich WD repeat containing 1
161422_f_at	Ucp1	"uncoupling protein 1 (mitochondrial, proton carrier)"
161423_r_at		
161424_f_at	1110049F12Rik	RIKEN cDNA 1110049F12 gene
161425_r_at	D4Wsu132e	"DNA segment, Chr 4, Wayne State University 132, expressed"
161426_at	Larp7	"La ribonucleoprotein domain family, member 7"
161427_f_at	E2f1	E2F transcription factor 1
161428_at		
161429_at	X83328	EST X83328
161430_at	Preb	prolactin regulatory element binding
161431_i_at	C80913	expressed sequence C80913
161432_f_at	Sart3	squamous cell carcinoma antigen recognized by T-cells 3
161433_f_at	Piga	"phosphatidylinositol glycan anchor biosynthesis, class A"
161434_r_at	Coro2b	"coronin, actin binding protein, 2B"
161435_i_at	1810013D10Rik	RIKEN cDNA 1810013D10 gene
161436_s_at	Adarb1	"adenosine deaminase, RNA-specific, B1"
161437_f_at	6530401N04Rik /// LOC638977	RIKEN cDNA 6530401N04 gene /// hypothetical protein LOC638977
161438_r_at		
161439_f_at	Ap1m1	"adaptor-related protein complex AP-1, mu subunit 1"
161440_r_at	Suv420h2	suppressor of variegation 4-20 homolog 2 (Drosophila)
161441_f_at		
161442_at	Pmp22	peripheral myelin protein
161443_r_at	Adfp	Adipose differentiation related protein
161444_f_at	Ints5	integrator complex subunit 5
161445_at	Ankrd13c	ankyrin repeat domain 13c
161446_r_at	Htra2	HtrA serine peptidase 2
161447_f_at		
161448_f_at		
161449_f_at	Cwf19l1	"CWF19-like 1, cell cycle control (S. pombe)"
161450_r_at	Psen1	presenilin 1
161451_r_at	Clcn5	chloride channel 5
161452_f_at		
161453_r_at	Grsf1	G-rich RNA sequence binding factor 1
161454_r_at	LOC671051 /// Zc3h15	zinc finger CCCH-type containing 15 /// similar to brain zinc finger protein
161455_r_at	Rae1	RAE1 RNA export 1 homolog (S. pombe)
161456_f_at		
161457_at	Cdc2l1	cell division cycle 2-like 1
161458_at	F7	coagulation factor VII
161459_f_at	Prep	prolyl endopeptidase
161460_r_at	Egf	epidermal growth factor
161461_at		
161462_r_at	6820431F20Rik	RIKEN cDNA 6820431F20 gene
161463_f_at	Nsg1	neuron specific gene family member 1
161464_f_at	Stk24	"serine/threonine kinase 24 (STE20 homolog, yeast)"
161465_r_at		
161466_r_at	Asb3	ankyrin repeat and SOCS box-containing protein 3
161467_f_at	Atp1b1	"ATPase, Na+/K+ transporting, beta 1 polypeptide"
161468_f_at	Hand1	Heart and neural crest derivatives expressed transcript 1
161469_r_at	Acads	"acyl-Coenzyme A dehydrogenase, short chain"
161470_r_at	Mtf2	Metal response element binding transcription factor 2
161471_f_at	Rcor1	REST corepressor 1
161472_r_at	Lman2	"lectin, mannose-binding 2"
161473_f_at	Gng11	"guanine nucleotide binding protein (G protein), gamma 11"
161474_r_at	Dpep3	dipeptidase 3
161475_f_at	Cox8c	"cytochrome c oxidase, subunit VIIIc"
161476_at	Psap	prosaposin
161477_r_at		
161478_at	Mthfd2	"methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"
161479_f_at	Ctf1	cardiotrophin 1
161480_i_at		
161481_f_at	Bnip1	"BCL2/adenovirus E1B interacting protein 1, NIP1"
161482_f_at	LOC673890	similar to peripherin 1
161483_r_at		
161484_r_at	Trim47	Tripartite motif protein 47
161485_r_at		
161486_f_at	Igh /// Igh-2 /// Igh-VJ558 /// LOC677563	immunoglobulin heavy chain (J558 family) /// immunoglobulin heavy chain complex /// immunoglobulin heavy chain 2 (serum IgA) /// similar to Ig heavy chain V region VH558 A1/A4 precursor
161487_f_at		
161488_r_at	Mrpl36	mitochondrial ribosomal protein L36
161489_r_at	Tmem109	transmembrane protein 109
161490_at	Cox5a	"cytochrome c oxidase, subunit Va"
161491_r_at	Fbxo3	F-box protein 3
161492_i_at	Mgat1	mannoside acetylglucosaminyltransferase 1
161493_at		
161494_f_at	Atp5d	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
161495_r_at	Ckmt1	"creatine kinase, mitochondrial 1, ubiquitous"
161496_r_at	Krt17	keratin 17
161497_f_at	Itga7	integrin alpha 7
161498_at	Rpl23	ribosomal protein L23
161499_f_at		
161500_i_at	Bad	Bcl-associated death promoter
161501_at		
161502_r_at	Smyd5	SET and MYND domain containing 5
161503_f_at		
161504_i_at	Zcd1	"Zinc finger, CDGSH-type domain 1"
161505_i_at		Transcribed locus
161506_r_at	Ccs	copper chaperone for superoxide dismutase
161507_f_at	Ndufaf1	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"
161508_at	LOC676541 /// Sub1	SUB1 homolog (S. cerevisiae) /// similar to Activated RNA polymerase II transcriptional coactivator p15 precursor (SUB1 homolog) (Positive cofactor 4) (PC4) (p14) (Single-stranded DNA-binding protein p9)
161509_at	Mmp2	matrix metallopeptidase 2
161510_f_at		
161511_f_at	LOC677168	hypothetical protein LOC677168
161512_r_at	Dgcr6	DiGeorge syndrome critical region gene 6
161513_r_at	Chmp1b	chromatin modifying protein 1B
161514_at		
161515_i_at	Timp2	tissue inhibitor of metalloproteinase 2
161516_r_at	Vapa	"vesicle-associated membrane protein, associated protein A"
161517_at		
161518_r_at	Angptl4	angiopoietin-like 4
161519_f_at		
161520_at	2610029G23Rik	RIKEN cDNA 2610029G23 gene
161521_at	Ppp1r12c	"protein phosphatase 1, regulatory (inhibitor) subunit 12C"
161522_i_at	Cst3	cystatin C
161523_r_at	Calm2	calmodulin 2
161524_r_at	Gpi1 /// LOC669429 /// LOC676596	glucose phosphate isomerase 1 /// hypothetical protein LOC669429 /// similar to Glucose-6-phosphate isomerase (GPI) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Neuroleukin) (NLK)
161525_f_at	Rom1	rod outer segment membrane protein 1
161526_r_at		
161527_r_at	Ccni	cyclin I
161528_r_at	Pold1	"polymerase (DNA directed), delta 1, catalytic subunit"
161529_r_at	Cldn11	claudin 11
161530_r_at	Sema4a	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A"
161531_r_at	Egr2	Early growth response 2
161532_f_at	2610304G08Rik	RIKEN cDNA 2610304G08 gene
161533_at		
161534_f_at	1110038D17Rik	RIKEN cDNA 1110038D17 gene
161535_at		
161536_r_at	Dusp6	dual specificity phosphatase 6
161537_f_at	Tpp2	tripeptidyl peptidase II
161538_r_at	Tyrp1	tyrosinase-related protein 1
161539_f_at	Tchh	trichohyalin
161540_r_at	Tmem77	transmembrane protein 77
161541_r_at	Tchh	trichohyalin
161542_r_at	Tmem129	transmembrane protein 129
161543_at		
161544_r_at	Csf2rb2	"colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)"
161545_r_at	Myh4	"myosin, heavy polypeptide 4, skeletal muscle"
161546_r_at		
161547_f_at		
161548_r_at	Ryk	receptor-like tyrosine kinase
161549_f_at	C1qtnf1	C1q and tumor necrosis factor related protein 1
161550_r_at	LOC675857 /// Vcp	valosin containing protein /// similar to Transitional endoplasmic reticulum ATPase (TER ATPase) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)
161551_f_at	Riok3	RIO kinase 3 (yeast)
161552_i_at	Xpa	"xeroderma pigmentosum, complementation group A"
161553_i_at	A030009H04Rik	RIKEN cDNA A030009H04 gene
161554_r_at	Coasy	Coenzyme A synthase
161555_f_at	Slc2a8	"solute carrier family 2, (facilitated glucose transporter), member 8"
161556_at	Usp52	ubiquitin specific peptidase 52
161557_at	Mnat1	menage a trois 1
161558_f_at		
161559_i_at		
161560_f_at	Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1
161561_r_at	Surf5	Surfeit gene 5
161562_f_at	Zfp787	zinc finger protein 787
161563_r_at		
161564_r_at	X99384	cDNA sequence X99384
161565_r_at		
161566_r_at	Asgr1	asialoglycoprotein receptor 1
161567_r_at	Tob1	transducer of ErbB-2.1
161568_f_at	Map3k4	mitogen activated protein kinase kinase kinase 4
161569_f_at	Ckm	"creatine kinase, muscle"
161570_r_at	Ttc35	tetratricopeptide repeat domain 35
161571_f_at	C1r /// LOC667277 /// LOC677405	"complement component 1, r subcomponent /// similar to Complement C1r-B subcomponent precursor (Complement component 1, r-B subcomponent) /// similar to complement component 1, r subcomponent"
161572_r_at		
161573_at	Slc4a7	"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
161574_r_at	Atp2c1	"ATPase, Ca++-sequestering"
161575_f_at	Mapk10	mitogen activated protein kinase 10
161576_f_at	Trafd1	TRAF type zinc finger domain containing 1
161577_f_at	Ccdc96	coiled-coil domain containing 96
161578_r_at		
161579_r_at	Sfpq	Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
161580_f_at	Nub1	negative regulator of ubiquitin-like proteins 1
161581_r_at	Mizf	MBD2-interacting zinc finger
161582_r_at	Wbp11	WW domain binding protein 11
161583_at	Mapk1	mitogen activated protein kinase 1
161584_r_at	Elf1	E74-like factor 1
161585_at	Gp5	glycoprotein 5 (platelet)
161586_f_at	Cenpe	centromere protein E
161587_at	Hrsp12	heat-responsive protein 12
161588_r_at	Dhh	desert hedgehog
161589_at	Ard1	N-acetyltransferase ARD1 homolog (S. cerevisiae)
161590_r_at	Prl2c2 /// Prl2c3 /// Prl2c4	"prolactin family 2, subfamily c, member 2 /// prolactin family 2, subfamily c, member 3 /// prolactin family 2, subfamily c, member 4"
161591_r_at	Gal	galanin
161592_at	Tuba4a	"Tubulin, alpha 4A"
161593_r_at	Ap1g1	"adaptor protein complex AP-1, gamma 1 subunit"
161594_f_at	Galm	galactose mutarotase
161595_at		
161596_f_at	Akap8	A kinase (PRKA) anchor protein 8
161597_r_at	Mrpl49	mitochondrial ribosomal protein L49
161598_at	Gdnf	glial cell line derived neurotrophic factor
161599_i_at	Bop1	block of proliferation 1
161600_r_at		
161601_i_at	Dnmt1	DNA methyltransferase (cytosine-5) 1
161602_at	Gbl	G protein beta subunit-like
161603_r_at	Epb4.1l4a	erythrocyte protein band 4.1-like 4a
161604_r_at	Kifap3	Kinesin-associated protein 3
161605_f_at	Zfp37	Zinc finger protein 37
161606_f_at	Tigd5	tigger transposable element derived 5
161607_r_at	Gjb6	gap junction membrane channel protein beta 6
161608_r_at	Hyal2	hyaluronoglucosaminidase 2
161609_at	Rgs16	regulator of G-protein signaling 16
161610_at	Ndrg2	N-myc downstream regulated gene 2
161611_f_at	Emid1	EMI domain containing 1
161612_f_at	LOC545887 /// LOC632223 /// Tubb3	"tubulin, beta 3 /// similar to tubulin, beta 3"
161613_at	Chmp7	"CHMP family, member 7"
161614_r_at	Tubb2a	"tubulin, beta 2a"
161615_f_at		
161616_f_at	Rprm	"reprimo, TP53 dependent G2 arrest mediator candidate"
161617_f_at		
161618_r_at		
161619_f_at	Mapk8ip1	mitogen activated protein kinase 8 interacting protein 1
161620_f_at	Cwf19l1	"CWF19-like 1, cell cycle control (S. pombe)"
161621_r_at	Cggbp1	CGG triplet repeat binding protein 1
161622_f_at		
161623_at	Acadvl	"acyl-Coenzyme A dehydrogenase, very long chain"
161624_r_at		
161625_r_at	Lrp10	low-density lipoprotein receptor-related protein 10
161626_f_at	Plg	plasminogen
161627_r_at	Prkd2	Protein kinase D2
161628_r_at	Fbln1	fibulin 1
161629_i_at	Afp	alpha fetoprotein
161630_i_at		
161631_f_at	Cstf1	"Cleavage stimulation factor, 3' pre-RNA, subunit 1"
161632_r_at	Phf7	PHD finger protein 7
161633_r_at		
161634_r_at	Dll1	delta-like 1 (Drosophila)
161635_f_at	Snhg6	small nucleolar RNA host gene (non-protein coding) 6
161636_r_at	Plk3	polo-like kinase 3 (Drosophila)
161637_f_at	Egfbp2 /// Klk1 /// Klk1b26 /// Klk1b5	epidermal growth factor binding protein type B /// kallikrein 1 /// kallikrein 1-related petidase b26 /// kallikrein 1-related peptidase b5
161638_f_at	Pick1	protein interacting with C kinase 1
161639_f_at	Gast	gastrin
161640_at	Slc25a45	"solute carrier family 25, member 45"
161641_at		
161642_f_at	Reg3a	regenerating islet-derived 3 alpha
161643_i_at		
161644_f_at	Gamt	guanidinoacetate methyltransferase
161645_r_at	Atf3	activating transcription factor 3
161646_r_at	Klhdc2	kelch domain containing 2
161647_f_at	Krt4	keratin 4
161648_at	Crry	complement receptor related protein
161649_f_at	Art5	ADP-ribosyltransferase 5
161650_at	Slpi	secretory leukocyte peptidase inhibitor
161651_f_at		
161652_r_at	Idh3a	isocitrate dehydrogenase 3 (NAD+) alpha
161653_f_at	Nanog	Nanog homeobox
161654_r_at		
161655_at	Dad1	defender against cell death 1
161656_r_at	Proc	protein C
161657_f_at	EG234703 /// EG434434 /// EG625219 /// LOC638133 /// LOC668946 /// LOC670252 /// LOC675230 /// Rpl10	"ribosomal protein 10 /// predicted gene, EG234703 /// predicted gene, EG434434 /// predicted gene, EG625219 /// similar to ribosomal protein L10 /// similar to 60S ribosomal protein L10 (QM protein) (Tumor suppressor QM) (Laminin receptor homolog)"
161658_at	Map3k11	mitogen activated protein kinase kinase kinase 11
161659_f_at	Acp1 /// LOC631286	"acid phosphatase 1, soluble /// similar to acid phosphatase 1, soluble"
161660_r_at		
161661_i_at	Itpr1	"Inositol 1,4,5-triphosphate receptor 1"
161662_f_at	LOC639905 /// Sap30bp	SAP30 binding protein /// similar to transcriptional regulator protein
161663_f_at	Dnajc19 /// EG624405	"DnaJ (Hsp40) homolog, subfamily C, member 19 /// predicted gene, EG624405"
161664_at	Mrpl50	mitochondrial ribosomal protein L50
161665_at	Mark1	MAP/microtubule affinity-regulating kinase 1
161666_f_at	Gadd45b	growth arrest and DNA-damage-inducible 45 beta
161667_r_at	Tmem59	transmembrane protein 59
161668_f_at	Por	P450 (cytochrome) oxidoreductase
161669_r_at	EG628277 /// LOC633817 /// LOC669373 /// Naca	"nascent polypeptide-associated complex alpha polypeptide /// predicted gene, EG628277 /// similar to nascent polypeptide-associated complex alpha polypeptide"
161670_f_at	Hoxa11os	"homeo box A11, opposite strand transcript"
161671_at		
161672_at	Map3k7	mitogen activated protein kinase kinase kinase 7
161673_r_at		
161674_i_at		
161675_f_at		
161676_at	Sgol1	shugoshin-like 1 (S. pombe)
161677_r_at		
161678_at	Inpp5d	inositol polyphosphate-5-phosphatase D
161679_r_at		
161680_r_at	Nr1h2	"nuclear receptor subfamily 1, group H, member 2"
161681_i_at	Sars2	seryl-aminoacyl-tRNA synthetase 2
161682_f_at	Gpaa1	GPI anchor attachment protein 1
161683_r_at	Gtpbp1	GTP binding protein 1
161684_r_at	Lcn2	lipocalin 2
161685_r_at	Nufip1	Nuclear fragile X mental retardation protein interacting protein 1
161686_i_at	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5
161687_r_at	Slc29a1	"solute carrier family 29 (nucleoside transporters), member 1"
161688_r_at		
161689_f_at	Il1r2	"interleukin 1 receptor, type II"
161690_at	Gzmg	granzyme G
161691_at	Htatsf1	HIV TAT specific factor 1
161692_r_at		
161693_r_at	D1Ertd161e	"DNA segment, Chr 1, ERATO Doi 161, expressed"
161694_f_at	Ptgs1	prostaglandin-endoperoxide synthase 1
161695_f_at	Slc6a4	"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4"
161696_f_at	C77080	expressed sequence C77080
161697_r_at	D14Ertd436e	"DNA segment, Chr 14, ERATO Doi 436, expressed"
161698_f_at	Mtap7d1	microtubule-associated protein 7 domain containing 1
161699_i_at	Irf6	interferon regulatory factor 6
161700_i_at	Nsmaf	neutral sphingomyelinase (N-SMase) activation associated factor
161701_at		
161702_f_at	Lama5 /// LOC671909	"laminin, alpha 5 /// similar to Laminin alpha-5 chain precursor"
161703_f_at	Anxa1	annexin A1
161704_r_at	Cd36	CD36 antigen
161705_r_at		
161706_f_at	Lamc1	"laminin, gamma 1"
161707_f_at		
161708_f_at	Mpdz	multiple PDZ domain protein
161709_at	Fancc	"Fanconi anemia, complementation group C"
161710_r_at	1810073N04Rik	RIKEN cDNA 1810073N04 gene
161711_f_at	Chx10	C. elegans ceh-10 homeo domain containing homolog
161712_r_at	Bnip2	"BCL2/adenovirus E1B interacting protein 1, NIP2"
161713_f_at	Ptgfr	prostaglandin F receptor
161714_f_at	Maoa	monoamine oxidase A
161715_f_at	D4Ertd196e	"DNA segment, Chr 4, ERATO Doi 196, expressed"
161716_at	Fos	FBJ osteosarcoma oncogene
161717_i_at	Zfp26	zinc finger protein 26
161718_at	Braf	Braf transforming gene
161719_f_at	1500034J01Rik	RIKEN cDNA 1500034J01 gene
161720_r_at	Acrbp	proacrosin binding protein
161721_f_at	Cyp17a1	"cytochrome P450, family 17, subfamily a, polypeptide 1"
161722_f_at	Gstm5	"glutathione S-transferase, mu 5"
161723_at	Wdfy2	WD repeat and FYVE domain containing 2
161724_r_at	Tgoln1 /// Tgoln2	trans-golgi network protein /// trans-golgi network protein 2
161725_r_at	Ube2v2	ubiquitin-conjugating enzyme E2 variant 2
161726_f_at	Dnm2	dynamin 2
161727_r_at	Rad52	RAD52 homolog (S. cerevisiae)
161728_f_at	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
161729_f_at	Josd1	Josephin domain containing 1
161730_f_at	Itgae	"integrin, alpha E, epithelial-associated"
161731_at	Rrm1	ribonucleotide reductase M1
161732_at		
161733_at	Sqrdl	sulfide quinone reductase-like (yeast)
161734_r_at	Clgn	Calmegin
161735_r_at	5730469M10Rik	RIKEN cDNA 5730469M10 gene
161736_r_at		
161737_at	Utp18	"UTP18, small subunit (SSU) processome component, homolog (yeast)"
161738_f_at	Ilvbl	ilvB (bacterial acetolactate synthase)-like
161739_r_at	Pola2	"polymerase (DNA directed), alpha 2"
161740_r_at	Rag1	recombination activating gene 1
161741_r_at	Zfp503	zinc finger protein 503
161742_r_at		
161743_i_at	Eif3s9	"eukaryotic translation initiation factor 3, subunit 9 (eta)"
161744_f_at	Mark3	MAP/microtubule affinity-regulating kinase 3
161745_f_at	Hspa4	heat shock protein 4
161746_i_at	Bxdc2	brix domain containing 2
161747_i_at	Myo5b	Myosin Vb
161748_r_at		
161749_r_at	Tug1	taurine upregulated gene 1
161750_f_at	Ncam1	neural cell adhesion molecule 1
161751_f_at	R3hcc1	R3H domain and coiled-coil containing 1
161752_r_at	Cx3cl1	chemokine (C-X3-C motif) ligand 1
161753_f_at	Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)
161754_f_at	Glb1	"galactosidase, beta 1"
161755_at	Erp29	endoplasmic reticulum protein 29
161756_at	Rnmtl1	RNA methyltransferase like 1
161757_f_at	Ranbp5	RAN binding protein 5
161758_r_at	Rbm9	RNA binding motif protein 9
161759_r_at	Lcat	lecithin cholesterol acyltransferase
161760_s_at	Rbbp6	retinoblastoma binding protein 6
161761_r_at	Hsp90ab1	"heat shock protein 90kDa alpha (cytosolic), class B member 1"
161762_at		
161763_r_at	Pip5k2c	"phosphatidylinositol-4-phosphate 5-kinase, type II, gamma"
161764_r_at	Stac	src homology three (SH3) and cysteine rich domain
161765_f_at	Rgs10	regulator of G-protein signalling 10
161766_i_at	Dalrd3	DALR anticodon binding domain containing 3
161767_r_at	Mrps18a	mitochondrial ribosomal protein S18A
161768_r_at	Map3k8	mitogen activated protein kinase kinase kinase 8
161769_r_at	Bphl	"biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)"
161770_f_at	D1Ertd161e	"DNA segment, Chr 1, ERATO Doi 161, expressed"
161771_r_at	Gpr162	G protein-coupled receptor 162
161772_i_at	Gtf2ird2	GTF2I repeat domain containing 2
161773_i_at	Cds2	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
161774_f_at	Lypla1	lysophospholipase 1
161775_f_at		
161776_at	Matn2	matrilin 2
161777_f_at	Ercc5	"excision repair cross-complementing rodent repair deficiency, complementation group 5"
161778_i_at	Ralgds	ral guanine nucleotide dissociation stimulator
161779_r_at	Cryl1	"crystallin, lambda 1"
161780_f_at	Crygb	"crystallin, gamma B"
161781_at	Mtap4	microtubule-associated protein 4
161782_r_at	Zdhhc14	"Zinc finger, DHHC domain containing 14"
161783_at	Aldh7a1	"Aldehyde dehydrogenase family 7, member A1"
161784_f_at	Star	steroidogenic acute regulatory protein
161785_f_at	Bcdin3	"bin3, bicoid-interacting 3, homolog (Drosophila)"
161786_f_at		
161787_f_at	Cdt1	chromatin licensing and DNA replication factor 1
161788_f_at	Edg1	endothelial differentiation sphingolipid G-protein-coupled receptor 1
161789_r_at		
161790_at	Rab3a	"RAB3A, member RAS oncogene family"
161791_r_at	Tbc1d10a	"TBC1 domain family, member 10a"
161792_f_at	Nr2f2	"nuclear receptor subfamily 2, group F, member 2"
161793_at	Lama4	"laminin, alpha 4"
161794_i_at	D16Bwg1494e	"DNA segment, Chr 16, Brigham & Women's Genetics 1494 expressed"
161795_r_at	Prpf39	PRP39 pre-mRNA processing factor 39 homolog (yeast)
161796_r_at	Kcnq1	"potassium voltage-gated channel, subfamily Q, member 1"
161797_r_at	Xpot	"exportin, tRNA (nuclear export receptor for tRNAs)"
161798_r_at	Gtf3c4	"general transcription factor IIIC, polypeptide 4"
161799_r_at	Kcnj9	"potassium inwardly-rectifying channel, subfamily J, member 9"
161800_r_at	Ddx50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
161801_r_at	Sema3b	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
161802_i_at	Egr1	Early growth response 1
161803_r_at		
161804_r_at	Bphl	"biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)"
161805_r_at	Nsun2	NOL1/NOP2/Sun domain family 2
161806_r_at	Atp6ap1	"ATPase, H+ transporting, lysosomal accessory protein 1"
161807_i_at	Tbc1d22a	"TBC1 domain family, member 22a"
161808_f_at	Evl	Ena-vasodilator stimulated phosphoprotein
161809_r_at	Rnf4	ring finger protein 4
161810_r_at		
161811_f_at	Ptpra	"protein tyrosine phosphatase, receptor type, A"
161812_r_at		
